Inventory_ID,Product_ID,Warehouse_ID,Supplier_ID,Stock_Quantity,Reorder_Level
I00001,101,W001,S027,338,33
I00002,101,W002,S024,210,183
I00003,101,W003,S001,336,135
I00004,101,W004,S043,822,164
I00005,101,W005,S043,462,124
I00006,101,W006,S048,380,47
I00007,101,W007,S041,530,59
I00008,101,W008,S035,578,174
I00009,101,W009,S022,830,187
I00010,101,W010,S016,151,105
I00011,102,W001,S003,82,60
I00012,102,W002,S041,513,27
I00013,102,W003,S016,994,133
I00014,102,W004,S004,468,86
I00015,102,W005,S002,728,153
I00016,102,W006,S042,837,117
I00017,102,W007,S039,859,130
I00018,102,W008,S001,372,76
I00019,102,W009,S039,676,64
I00020,102,W010,S034,342,118
I00021,103,W001,S007,541,196
I00022,103,W002,S012,58,181
I00023,103,W003,S011,364,132
I00024,103,W004,S044,235,182
I00025,103,W005,S006,105,55
I00026,103,W006,S049,421,153
I00027,103,W007,S021,680,183
I00028,103,W008,S036,182,62
I00029,103,W009,S034,622,184
I00030,103,W010,S024,161,143
I00031,104,W001,S022,803,82
I00032,104,W002,S012,300,26
I00033,104,W003,S041,659,196
I00034,104,W004,S046,736,71
I00035,104,W005,S020,980,195
I00036,104,W006,S048,745,174
I00037,104,W007,S035,255,178
I00038,104,W008,S003,397,36
I00039,104,W009,S006,984,161
I00040,104,W010,S034,396,60
I00041,105,W001,S033,502,67
I00042,105,W002,S049,554,64
I00043,105,W003,S025,930,81
I00044,105,W004,S039,79,80
I00045,105,W005,S023,194,104
I00046,105,W006,S015,719,116
I00047,105,W007,S014,740,39
I00048,105,W008,S008,250,38
I00049,105,W009,S026,51,176
I00050,105,W010,S010,835,138
I00051,106,W001,S036,150,41
I00052,106,W002,S040,177,86
I00053,106,W003,S039,319,128
I00054,106,W004,S019,934,137
I00055,106,W005,S014,491,106
I00056,106,W006,S043,938,153
I00057,106,W007,S035,84,134
I00058,106,W008,S032,644,44
I00059,106,W009,S026,765,180
I00060,106,W010,S047,324,45
I00061,107,W001,S031,140,125
I00062,107,W002,S020,625,143
I00063,107,W003,S038,384,159
I00064,107,W004,S047,853,131
I00065,107,W005,S015,275,176
I00066,107,W006,S017,520,146
I00067,107,W007,S022,786,49
I00068,107,W008,S003,123,199
I00069,107,W009,S013,514,120
I00070,107,W010,S030,125,60
I00071,108,W001,S025,955,22
I00072,108,W002,S024,575,23
I00073,108,W003,S048,708,114
I00074,108,W004,S028,740,86
I00075,108,W005,S003,566,193
I00076,108,W006,S001,974,132
I00077,108,W007,S039,243,85
I00078,108,W008,S030,573,191
I00079,108,W009,S019,781,163
I00080,108,W010,S039,559,22
I00081,109,W001,S010,186,140
I00082,109,W002,S020,212,146
I00083,109,W003,S014,261,185
I00084,109,W004,S044,775,28
I00085,109,W005,S022,223,48
I00086,109,W006,S043,902,75
I00087,109,W007,S027,973,59
I00088,109,W008,S042,823,171
I00089,109,W009,S050,804,68
I00090,109,W010,S006,506,139
I00091,110,W001,S048,426,128
I00092,110,W002,S043,788,134
I00093,110,W003,S016,911,163
I00094,110,W004,S026,489,45
I00095,110,W005,S001,288,63
I00096,110,W006,S045,897,61
