Order_ID,Order_Date,Product_ID,Warehouse_ID,Quantity,Unit_Price,Total_Amount
O000001,2025-10-31,392,W004,9,37096,333864
O000002,2025-02-22,409,W010,10,22022,220220
O000003,2025-03-17,304,W010,8,18934,151472
O000004,2025-10-27,630,W007,8,56994,455952
O000005,2025-06-14,619,W004,10,27592,275920
O000006,2025-12-22,539,W003,10,63741,637410
O000007,2025-02-13,270,W010,2,15622,31244
O000008,2025-04-05,325,W003,6,11990,71940
O000009,2025-04-06,138,W010,6,59797,358782
O000010,2025-07-26,197,W006,10,2666,26660
O000011,2025-05-05,426,W010,7,56953,398671
O000012,2025-05-27,429,W001,9,12468,112212
O000013,2025-08-24,594,W005,7,61600,431200
O000014,2025-04-21,303,W009,4,65352,261408
O000015,2025-11-08,183,W006,7,15402,107814
O000016,2025-03-09,216,W005,3,33998,101994
O000017,2025-02-01,257,W003,7,30691,214837
O000018,2025-11-21,224,W004,7,12322,86254
O000019,2025-11-03,319,W007,6,17518,105108
O000020,2025-04-24,493,W008,4,49432,197728
O000021,2025-12-29,326,W006,5,54482,272410
O000022,2025-09-25,322,W004,8,66285,530280
O000023,2025-06-11,354,W009,8,53894,431152
O000024,2025-03-04,443,W009,1,44432,44432
O000025,2025-07-26,128,W007,5,59989,299945
O000026,2025-02-24,558,W008,7,26372,184604
O000027,2025-07-10,601,W010,6,51746,310476
O000028,2025-12-08,634,W002,1,12631,12631
O000029,2025-09-22,449,W008,8,39055,312440
O000030,2025-10-04,281,W002,8,9555,76440
O000031,2025-07-28,650,W002,7,21812,152684
O000032,2025-05-31,371,W003,7,22508,157556
O000033,2025-06-10,236,W010,3,10344,31032
O000034,2025-04-15,122,W001,6,39812,238872
O000035,2025-11-25,283,W009,3,52408,157224
O000036,2025-01-12,156,W005,10,41247,412470
O000037,2025-05-08,517,W004,5,48214,241070
O000038,2025-05-02,581,W002,9,3344,30096
O000039,2025-10-15,471,W001,6,20635,123810
O000040,2025-02-01,324,W003,1,16727,16727
O000041,2025-06-26,332,W009,7,50068,350476
O000042,2025-02-19,203,W001,5,7254,36270
O000043,2025-12-04,631,W009,10,44645,446450
O000044,2025-04-04,258,W008,2,32144,64288
O000045,2025-10-23,213,W004,7,12983,90881
O000046,2025-08-03,519,W010,3,49978,149934
O000047,2025-03-23,402,W005,2,48549,97098
O000048,2025-08-08,136,W009,8,67375,539000
O000049,2025-08-18,354,W002,2,53894,107788
O000050,2025-06-26,148,W010,3,2362,7086
O000051,2025-12-09,114,W004,10,36754,367540
O000052,2025-11-27,492,W002,9,32018,288162
O000053,2025-09-25,481,W010,5,18930,94650
O000054,2025-08-28,167,W010,3,57088,171264
O000055,2025-06-15,408,W009,1,13004,13004
O000056,2025-04-29,601,W005,7,51746,362222
O000057,2025-07-01,339,W004,5,49670,248350
O000058,2025-10-01,189,W002,3,19851,59553
O000059,2025-08-02,503,W008,3,38984,116952
O000060,2025-06-19,387,W010,7,21460,150220
O000061,2025-05-06,198,W004,10,8989,89890
O000062,2025-12-25,294,W003,2,14512,29024
O000063,2025-08-04,248,W002,9,58715,528435
O000064,2025-12-05,647,W005,6,45523,273138
O000065,2025-12-16,412,W005,6,6581,39486
O000066,2025-10-28,544,W002,4,39431,157724
O000067,2025-10-06,546,W010,6,17825,106950
O000068,2025-01-01,245,W008,8,36423,291384
O000069,2025-01-02,487,W010,8,20815,166520
O000070,2025-03-24,224,W006,1,12322,12322
O000071,2025-06-28,111,W002,2,2756,5512
O000072,2025-11-20,487,W002,10,20815,208150
O000073,2025-12-26,156,W002,1,41247,41247
O000074,2025-09-05,539,W010,7,63741,446187
O000075,2025-07-24,543,W002,10,13096,130960
O000076,2025-08-11,559,W002,7,13271,92897
O000077,2025-07-09,408,W009,10,13004,130040
O000078,2025-06-15,485,W009,6,15570,93420
O000079,2025-11-26,215,W006,1,16749,16749
O000080,2025-09-23,390,W009,1,17277,17277
O000081,2025-06-26,194,W003,6,42695,256170
O000082,2025-06-14,260,W003,6,7210,43260
O000083,2025-03-22,125,W006,2,22305,44610
O000084,2025-04-11,554,W007,2,37991,75982
O000085,2025-11-05,255,W006,1,49709,49709
O000086,2025-07-26,373,W010,7,50120,350840
O000087,2025-06-16,225,W003,5,5619,28095
O000088,2025-06-25,605,W007,1,30328,30328
O000089,2025-11-16,260,W010,5,7210,36050
O000090,2025-12-12,155,W002,6,25725,154350
O000091,2025-05-12,625,W008,3,18900,56700
