Product_ID,Product_Name,Category,Brand,Unit_Cost,Unit_Price
101,Dell Laptop,Electronics,Dell,14943,18203
102,Dell Gaming Laptop,Electronics,Dell,5280,6538
103,Dell Desktop,Electronics,Dell,48116,55459
104,Dell Monitor,Electronics,Dell,41099,49466
105,Dell Keyboard,Electronics,Dell,42403,56011
106,Dell Mouse,Electronics,Dell,2050,2514
107,Dell Printer,Electronics,Dell,34114,47450
108,Dell Scanner,Electronics,Dell,23687,32818
109,Dell Router,Electronics,Dell,14373,17253
110,Dell Tablet,Electronics,Dell,46860,56110
111,Dell Smart Watch,Electronics,Dell,2170,2756
112,Dell Earbuds,Electronics,Dell,32926,39194
113,Dell SSD,Electronics,Dell,39488,53649
114,Dell Hard Drive,Electronics,Dell,27588,36754
115,Dell Webcam,Electronics,Dell,31733,37862
116,HP Laptop,Electronics,HP,38056,46043
117,HP Gaming Laptop,Electronics,HP,22331,29091
118,HP Desktop,Electronics,HP,19897,26336
119,HP Monitor,Electronics,HP,5626,7495
120,HP Keyboard,Electronics,HP,21423,28016
121,HP Mouse,Electronics,HP,40096,47616
122,HP Printer,Electronics,HP,33102,39812
123,HP Scanner,Electronics,HP,3853,5038
124,HP Router,Electronics,HP,49054,62186
125,HP Tablet,Electronics,HP,17665,22305
126,HP Smart Watch,Electronics,HP,25945,33079
127,HP Earbuds,Electronics,HP,33257,39363
128,HP SSD,Electronics,HP,47575,59989
129,HP Hard Drive,Electronics,HP,6582,8141
130,HP Webcam,Electronics,HP,1547,1823
131,Lenovo Laptop,Electronics,Lenovo,34520,40188
132,Lenovo Gaming Laptop,Electronics,Lenovo,43220,52968
133,Lenovo Desktop,Electronics,Lenovo,9552,12332
134,Lenovo Monitor,Electronics,Lenovo,23812,31264
135,Lenovo Keyboard,Electronics,Lenovo,8955,11183
136,Lenovo Mouse,Electronics,Lenovo,49207,67375
137,Lenovo Printer,Electronics,Lenovo,17031,22400
138,Lenovo Scanner,Electronics,Lenovo,49507,59797
139,Lenovo Router,Electronics,Lenovo,9717,13402
140,Lenovo Tablet,Electronics,Lenovo,1016,1337
141,Lenovo Smart Watch,Electronics,Lenovo,37939,49908
142,Lenovo Earbuds,Electronics,Lenovo,35130,41432
143,Lenovo SSD,Electronics,Lenovo,1527,1834
144,Lenovo Hard Drive,Electronics,Lenovo,12610,16786
145,Lenovo Webcam,Electronics,Lenovo,44279,61369
146,Apple Laptop,Electronics,Apple,30767,37374
147,Apple Gaming Laptop,Electronics,Apple,31344,39694
148,Apple Desktop,Electronics,Apple,1886,2362
149,Apple Monitor,Electronics,Apple,10224,13234
150,Apple Keyboard,Electronics,Apple,10874,13581
151,Apple Mouse,Electronics,Apple,30051,39836
152,Apple Printer,Electronics,Apple,9588,12206
153,Apple Scanner,Electronics,Apple,9559,11002
154,Apple Router,Electronics,Apple,7103,9075
155,Apple Tablet,Electronics,Apple,22361,25725
156,Apple Smart Watch,Electronics,Apple,32907,41247
157,Apple Earbuds,Electronics,Apple,20943,25043
158,Apple SSD,Electronics,Apple,26925,31778
